name;open;high;low;close;volume;marketCap;timestamp
"2781";225.36385755;225.36385755;94.29245155;144.61146668;5165993359.68;17924544700.78;"2021-05-17T00:00:00.000Z"
"2781";144.1731835;163.26740493;104.6850419;111.35319798;2325156026.02;13813224148.84;"2021-05-24T00:00:00.000Z"
"2781";111.45781163;136.08076304;100.06451088;104.58992222;1856340143.6;12979977210.25;"2021-05-31T00:00:00.000Z"
"2781";104.49311211;106.72016707;53.14746977;64.5680495;2141836161.38;8328361378.03;"2021-06-07T00:00:00.000Z"
"2781";64.37412157;70.50425619;44.22223881;47.21138056;1624020558.38;6089597586.8;"2021-06-14T00:00:00.000Z"
"2781";47.15907894;47.50644105;28.33869538;42.89836087;1866966761.54;5785532106.55;"2021-06-21T00:00:00.000Z"
"2781";42.92699917;59.30305723;40.60664335;46.85159331;3476166821.69;6413946278.18;"2021-06-28T00:00:00.000Z"
"2781";46.76699282;48.25943162;37.44061686;39.69038993;1339350866.7;5433583167.57;"2021-07-05T00:00:00.000Z"
"2781";39.68832788;40.94959159;31.16855517;32.38126309;1019814971.1;4432969451.35;"2021-07-12T00:00:00.000Z"
"2781";32.37999919;45.81135836;27.14294852;42.58781825;2153438222.45;5830238824.97;"2021-07-19T00:00:00.000Z"
"2781";42.6377035;48.10708316;37.61967861;40.91436616;2685391261.67;5601144550.19;"2021-07-26T00:00:00.000Z"
"2781";40.90605824;65.94182717;37.62783802;55.23996448;3995277071.89;7562307693.19;"2021-08-02T00:00:00.000Z"
"2781";55.19633774;76.48641304;52.79455986;63.49159512;5905784625;8691949438.55;"2021-08-09T00:00:00.000Z"
"2781";63.44335205;70.87496902;54.67956012;64.81656568;3824201678.47;10058660211.13;"2021-08-16T00:00:00.000Z"
"2781";64.65873076;74.80036406;54.56163122;72.12099925;4646612739.09;11333100843.73;"2021-08-23T00:00:00.000Z"
"2781";72.09305469;83.38991666;60.5785393;79.27398744;5900402457.75;12457122104.39;"2021-08-30T00:00:00.000Z"
